experiment,metric,evaluated,TP,FP,TN,FN,precision,recall,f1,accuracy
full,source_function_match,746,124,51,468,103,0.709,0.546,0.617,0.794
full,source_or_target_function_match,746,127,57,462,100,0.69,0.559,0.618,0.79
no_callback_edges,source_function_match,746,122,50,469,105,0.709,0.537,0.612,0.792
no_callback_edges,source_or_target_function_match,746,127,56,463,100,0.694,0.559,0.62,0.791
no_cross_contract_path,source_function_match,746,124,55,464,103,0.693,0.546,0.611,0.788
no_cross_contract_path,source_or_target_function_match,746,131,62,457,96,0.679,0.577,0.624,0.788
no_state_conflict,source_function_match,746,124,127,392,103,0.494,0.546,0.519,0.692
no_state_conflict,source_or_target_function_match,746,132,152,367,95,0.465,0.581,0.517,0.669
no_icfg_modeling,source_function_match,746,116,64,455,111,0.644,0.511,0.57,0.765
no_icfg_modeling,source_or_target_function_match,746,122,74,445,105,0.622,0.537,0.577,0.76
