sample_id,source_group,y_true,label,completed,total_vulnerabilities,ror_count,detected
ss_002_bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB,smartreco_solidity_sources,1,ROR,1,2,2,1
ss_004_eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_006_eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_008_eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_010_eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_012_eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_014_eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_016_eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_018_eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_020_eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_022_eth_0x82084ed9fd5a582aa2994c0f07f535735e85f318_HarvestV2Keep3rJob,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_024_eth_0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1_ArgentModule,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_025_eth_0x9f72dc67cec672bb99e3d02cbea0a21536a2b657,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_030_eth_0xb0880df8420974ef1b040111e5e0e95f05f8fee1_yVault_ZapInOut_General_V1_5,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_032_eth_0xbb787d6243a8d450659e09ea6fd82f1c859691e9_ConicEthPool,smartreco_solidity_sources,1,ROR,1,4,4,1
ss_034_eth_0xc5b49abf8b164472be9486767af6b1a5586b5609_yVault_ZapOut_V2,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_036_eth_0xd6b88257e91e4e4d4e990b3a858c849ef2dfde8c_yVault_ZapOut_V3_0_1,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_038_eth_0xd6e194af3d9674b62d1b30ec676030c23961275e_AdminUpgradeabilityProxy,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_040_eth_0xe27f1a136c0114aded15b24b576ad7f71483dcca_WETHGateway,smartreco_solidity_sources,1,ROR,1,0,0,0
ss_044_polygo_0xe150e792e0a18c9984a0630f051a607dee3c265d_CErc20Delegator,smartreco_solidity_sources,1,ROR,1,0,0,0
rf_001_01_ConicEthPool_Deposit_ROR,ror_dataset_flat,1,ROR,1,5,5,1
rf_002_02_QuickSwapCErc20_Borrow_ROR,ror_dataset_flat,1,ROR,1,3,3,1
rf_003_03_QuickSwapCErc20_Liquidation_ROR,ror_dataset_flat,1,ROR,1,1,1,1
rf_004_04_SturdyLendingPool_Borrow_ROR,ror_dataset_flat,1,ROR,1,3,3,1
rf_005_05_SturdyWETHGateway_Withdraw_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_006_06_MidasCErc20_Borrow_Safe,ror_dataset_flat,0,Safe,1,0,0,0
rf_007_07_VaultSharePrice_ROR,ror_dataset_flat,1,ROR,1,2,2,1
