"sample_id","label","y_true","source_group","recommended_eval","duplicate_group","label_status","target_path","vulnerable_contract","vulnerable_function","vuln_line_start","vuln_line_end","secondary_function","secondary_line_start","secondary_line_end","location_source","location_note","vulnerable_path"
"ss_002_bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB","ROR","1","smartreco_solidity_sources","1","0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8","smartreco_address_positive","cases/smartreco_sources/bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB/VSafeVaultWBNB.sol","VSafeVaultWBNB","withdraw","1198","1200","","","","manifest_function_name","target function resolved from source; contract corrected to containing implementation contract","cases/smartreco_sources/bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB/VSafeVaultWBNB.sol"
"ss_004_eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter","ROR","1","smartreco_solidity_sources","1","0x0000000001e4ef00d069e71d6ba041b0a16f7ea0","smartreco_address_positive","cases/smartreco_sources/eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter/contracts/pendle/contracts/router/PendleRouter.sol","PendleRouter","batchExec","205","205","","","","manual_proxy_or_inheritance_resolution","manual diamond selector resolution; batchExec dispatches through ACTION_MISC","cases/smartreco_sources/eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter/contracts/pendle/contracts/router/PendleRouter.sol"
"ss_006_eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2","ROR","1","smartreco_solidity_sources","1","0x13dada6157fee283723c0254f43ff1fdade4eed6","smartreco_address_positive","cases/smartreco_sources/eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2/Users/csessa/dev/yearn-truffle-verify2/contracts/keep3r/GenericKeep3rV2.sol","GenericKeep3rV2","harvest","158","162","","","","manifest_function_name","target function resolved from source","cases/smartreco_sources/eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2/Users/csessa/dev/yearn-truffle-verify2/contracts/keep3r/GenericKeep3rV2.sol"
"ss_008_eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy","ROR","1","smartreco_solidity_sources","1","0x16388463d60ffe0661cf7f1f31a7d658ac790ff7","smartreco_address_positive","cases/smartreco_sources/eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy/Proxy.sol","Proxy","fallback","22","40","","","","manual_proxy_or_inheritance_resolution","manual proxy fallback resolution for execTransaction delegatecall","cases/smartreco_sources/eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy/Proxy.sol"
"ss_010_eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator","ROR","1","smartreco_solidity_sources","1","0x1824df8d751704fa10fa371d62a37f9b8772ab90","smartreco_address_positive","cases/smartreco_sources/eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator/TrustedVaultMigrator.sol","VaultMigrator","migrateAll","608","614","","","","manifest_function_name","target function resolved from source","cases/smartreco_sources/eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator/TrustedVaultMigrator.sol"
"ss_012_eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato","ROR","1","smartreco_solidity_sources","1","0x3caca7b48d0573d793d3b0279b5f0029180e83b6","smartreco_address_positive","cases/smartreco_sources/eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato/contracts/core/diamond/Gelato.sol","Gelato","fallback","36","56","","","","manual_proxy_or_inheritance_resolution","manual diamond fallback resolution for exec delegatecall","cases/smartreco_sources/eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato/contracts/core/diamond/Gelato.sol"
"ss_014_eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob","ROR","1","smartreco_solidity_sources","1","0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f","smartreco_address_positive","cases/smartreco_sources/eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol","V2Keep3rJob","forceWork","149","152","","","","manual_proxy_or_inheritance_resolution","manual inherited implementation resolution from HarvestV2Keep3rJob","cases/smartreco_sources/eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob/contracts/jobs/v2/V2Keep3rJob.sol"
"ss_016_eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob","ROR","1","smartreco_solidity_sources","1","0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b","smartreco_address_positive","cases/smartreco_sources/eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol","HarvestV2Keep3rJob","workForTokens","62","65","","","","manifest_function_name","target function resolved from source","cases/smartreco_sources/eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol"
"ss_018_eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob","ROR","1","smartreco_solidity_sources","1","0x6d5a780fe782e90b49a85926cc77ddab0d024645","smartreco_address_positive","cases/smartreco_sources/eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob/contracts/proxy-job/Keep3rProxyJob.sol","Keep3rProxyJob","Work","60","64","","","","manifest_function_name","target function resolved from source","cases/smartreco_sources/eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob/contracts/proxy-job/Keep3rProxyJob.sol"
"ss_020_eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper","ROR","1","smartreco_solidity_sources","1","0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf","smartreco_address_positive","cases/smartreco_sources/eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper/contracts/jobs/v2/V2Keeper.sol","V2Keeper","Harvest","54","56","","","","manifest_function_name","target function resolved from source","cases/smartreco_sources/eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper/contracts/jobs/v2/V2Keeper.sol"
