"sample_id","target_path","y_true","label","source_group","recommended_eval","vulnerable_contract","vulnerable_function","vuln_line_start","vuln_line_end","secondary_function","secondary_line_start","secondary_line_end","vulnerable_path"
"ss_002_bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB","cases/smartreco_sources/bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB/VSafeVaultWBNB.sol","1","ROR","smartreco_solidity_sources","1","VSafeVaultWBNB","withdraw","1198","1200","","","","cases/smartreco_sources/bsc_0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8_VSafeVaultWBNB/VSafeVaultWBNB.sol"
"ss_004_eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter","cases/smartreco_sources/eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter/contracts/pendle/contracts/router/PendleRouter.sol","1","ROR","smartreco_solidity_sources","1","PendleRouter","batchExec","205","205","","","","cases/smartreco_sources/eth_0x0000000001e4ef00d069e71d6ba041b0a16f7ea0_PendleRouter/contracts/pendle/contracts/router/PendleRouter.sol"
"ss_006_eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2","cases/smartreco_sources/eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2/Users/csessa/dev/yearn-truffle-verify2/contracts/keep3r/GenericKeep3rV2.sol","1","ROR","smartreco_solidity_sources","1","GenericKeep3rV2","harvest","158","162","","","","cases/smartreco_sources/eth_0x13dada6157fee283723c0254f43ff1fdade4eed6_GenericKeep3rV2/Users/csessa/dev/yearn-truffle-verify2/contracts/keep3r/GenericKeep3rV2.sol"
"ss_008_eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy","cases/smartreco_sources/eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy/Proxy.sol","1","ROR","smartreco_solidity_sources","1","Proxy","fallback","22","40","","","","cases/smartreco_sources/eth_0x16388463d60ffe0661cf7f1f31a7d658ac790ff7_Proxy/Proxy.sol"
"ss_010_eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator","cases/smartreco_sources/eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator/TrustedVaultMigrator.sol","1","ROR","smartreco_solidity_sources","1","VaultMigrator","migrateAll","608","614","","","","cases/smartreco_sources/eth_0x1824df8d751704fa10fa371d62a37f9b8772ab90_TrustedVaultMigrator/TrustedVaultMigrator.sol"
"ss_012_eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato","cases/smartreco_sources/eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato/contracts/core/diamond/Gelato.sol","1","ROR","smartreco_solidity_sources","1","Gelato","fallback","36","56","","","","cases/smartreco_sources/eth_0x3caca7b48d0573d793d3b0279b5f0029180e83b6_Gelato/contracts/core/diamond/Gelato.sol"
"ss_014_eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob","cases/smartreco_sources/eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol","1","ROR","smartreco_solidity_sources","1","V2Keep3rJob","forceWork","149","152","","","","cases/smartreco_sources/eth_0x5b60f5f14778fc5769b80046bd8b6572e91e6b3f_HarvestV2Keep3rJob/contracts/jobs/v2/V2Keep3rJob.sol"
"ss_016_eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob","cases/smartreco_sources/eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol","1","ROR","smartreco_solidity_sources","1","HarvestV2Keep3rJob","workForTokens","62","65","","","","cases/smartreco_sources/eth_0x620bd1e1d1d845c8904ac03f6cd6b87706b7596b_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol"
"ss_018_eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob","cases/smartreco_sources/eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob/contracts/proxy-job/Keep3rProxyJob.sol","1","ROR","smartreco_solidity_sources","1","Keep3rProxyJob","Work","60","64","","","","cases/smartreco_sources/eth_0x6d5a780fe782e90b49a85926cc77ddab0d024645_Keep3rProxyJob/contracts/proxy-job/Keep3rProxyJob.sol"
"ss_020_eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper","cases/smartreco_sources/eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper/contracts/jobs/v2/V2Keeper.sol","1","ROR","smartreco_solidity_sources","1","V2Keeper","Harvest","54","56","","","","cases/smartreco_sources/eth_0x736d7e3c5a6cb2ce3b764300140abf476f6cfccf_V2Keeper/contracts/jobs/v2/V2Keeper.sol"
"ss_022_eth_0x82084ed9fd5a582aa2994c0f07f535735e85f318_HarvestV2Keep3rJob","cases/smartreco_sources/eth_0x82084ed9fd5a582aa2994c0f07f535735e85f318_HarvestV2Keep3rJob/contracts/jobs/v2/HarvestV2Keep3rJob.sol","1","ROR","smartreco_solidity_sources","1","V2Keep3rJob","forceWork","147","150","","","","cases/smartreco_sources/eth_0x82084ed9fd5a582aa2994c0f07f535735e85f318_HarvestV2Keep3rJob/contracts/jobs/v2/V2Keep3rJob.sol"
"ss_024_eth_0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1_ArgentModule","cases/smartreco_sources/eth_0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1_ArgentModule/Users/Elena/Source/argent-contracts/contracts/modules/ArgentModule.sol","1","ROR","smartreco_solidity_sources","1","RelayerManager","execute","81","140","","","","cases/smartreco_sources/eth_0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1_ArgentModule/Users/Elena/Source/argent-contracts/contracts/modules/RelayerManager.sol"
"ss_025_eth_0x9f72dc67cec672bb99e3d02cbea0a21536a2b657","cases/smartreco_sources/eth_0x9f72dc67cec672bb99e3d02cbea0a21536a2b657/contracts/protocol/libraries/sturdy-upgradeability/InitializableImmutableAdminUpgradeabilityProxy.sol","1","ROR","smartreco_solidity_sources","1","LendingPool","borrow","3765","3786","","","","cases/smartreco_sources/eth_0x9f72dc67cec672bb99e3d02cbea0a21536a2b657/LendingPool.sol"
"ss_030_eth_0xb0880df8420974ef1b040111e5e0e95f05f8fee1_yVault_ZapInOut_General_V1_5","cases/smartreco_sources/eth_0xb0880df8420974ef1b040111e5e0e95f05f8fee1_yVault_ZapInOut_General_V1_5/yVault_ZapInOut_General_V1_5.sol","1","ROR","smartreco_solidity_sources","1","yVault_ZapInOut_General_V1_5","ZapOut","1082","1181","","","","cases/smartreco_sources/eth_0xb0880df8420974ef1b040111e5e0e95f05f8fee1_yVault_ZapInOut_General_V1_5/yVault_ZapInOut_General_V1_5.sol"
"ss_032_eth_0xbb787d6243a8d450659e09ea6fd82f1c859691e9_ConicEthPool","cases/smartreco_sources/eth_0xbb787d6243a8d450659e09ea6fd82f1c859691e9_ConicEthPool/ConicEthPool.sol","1","ROR","smartreco_solidity_sources","1","ConicEthPool","deposit","203","208","","","","cases/smartreco_sources/eth_0xbb787d6243a8d450659e09ea6fd82f1c859691e9_ConicEthPool/ConicEthPool.sol"
"ss_034_eth_0xc5b49abf8b164472be9486767af6b1a5586b5609_yVault_ZapOut_V2","cases/smartreco_sources/eth_0xc5b49abf8b164472be9486767af6b1a5586b5609_yVault_ZapOut_V2/yVault_ZapOut_V2.sol","1","ROR","smartreco_solidity_sources","1","yVault_ZapOut_V2","ZapOut","921","985","","","","cases/smartreco_sources/eth_0xc5b49abf8b164472be9486767af6b1a5586b5609_yVault_ZapOut_V2/yVault_ZapOut_V2.sol"
